IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP66;IP_PROP32;IP_PROP33;IP_PROP36;IP_PROP37;IP_PROP67;IC_GROUP0;IC_GROUP1;IC_GROUP2;CR_PRICE_1_USD
213;Дядя Пицца;красный соус, базилик, сыр моцарелла, помидоры черри, корн, окорок прошутто, руккола, маслины, сыр пармезан;;;214;;/upload/iblock/16e/16efd1639c7b16441d6e33de002eb044.jpg;;;;;;12.27
215;Везувий;неаполитанский соус, базилик, сыр моцарелла, ветчина;;;217;;/upload/iblock/bf7/bf7160b853e94c46cb8683c5705bcec9.jpg;;;;;;5.94
216;Везувий;неаполитанский соус, базилик, сыр моцарелла, ветчина;;;217;;/upload/iblock/558/55827278f757ea73ea4243fd2dbb9958.jpg;;;;;;7.48
218;Фумэ;неаполитанский соус, сыр моцарелла, сырокопчёный бекон, красный лук;;;220;;/upload/iblock/dc9/dc9c4be0f194ef2a04c00cbce4998942.jpg;;;;;;6.87
219;Фумэ;неаполитанский соус, сыр моцарелла, сырокопчёный бекон, красный лук;;;220;;/upload/iblock/c6d/c6d3dd9b63c3bc066d31d36b2b8db1fa.jpg;;;;;;9.18
221;Пикантная;красный соус, базилик, сыр моцарелла, соус сладкий чили, жареная курица, консервированные персик/ананас;;;223;;/upload/iblock/1a0/1a0e36d532e1a79dab3dc4e3a3cdbe06.jpg;;;;;;8.41
222;Пикантная;красный соус, базилик, сыр моцарелла, соус сладкий чили, жареная курица, консервированные персик/ананас;;;223;;/upload/iblock/e13/e135e7010f048367285cce38c3b6e171.jpg;;;;;;9.95
224;Цезарь;белый соус с рукколой, сыр моцарелла, куриное филе, салат романо, соус Цезарь, помидоры черри, пармезан;;;226;;/upload/iblock/458/458c43331ea3a5b73f9913ab4f6cc716.jpg;;;;;;8.72
225;Цезарь;белый соус с рукколой, сыр моцарелла, куриное филе, салат романо, соус Цезарь, помидоры черри, пармезан;;;226;;/upload/iblock/80c/80c69066ab9d98407f2e8a0d4fdf3f5b.jpg;;;;;;11.8
227;Марэ;белый соус с рукколой, мидии, креветки, кальмары, осьминожки, семга слабосолёная, маслины, лимон, сыр моцарелла;;;229;;/upload/iblock/253/25367dfe98720431224ccd494426fc4f.jpg;;;;;;11.8
228;Марэ;белый соус с рукколой, мидии, креветки, кальмары, осьминожки, семга слабосолёная, маслины, лимон, сыр моцарелла;;;229;;/upload/iblock/a1c/a1c3933003d3d9fa54e19e3718bf99a3.jpg;;;;;;14.89
230;Охотничья;неаполитанский соус, соус чили, сервелат, колбаски охотничьи, куриная копчёная грудка, сырокопчёный бекон, лук красный, розовые томаты;;;232;;/upload/iblock/62e/62e840e30fa6df1b149e96c8c4ccbcdb.jpg;;;;;;10.57
231;Охотничья;неаполитанский соус, соус чили, сервелат, колбаски охотничьи, куриная копчёная грудка, сырокопчёный бекон, лук красный, розовые томаты;;;232;;/upload/iblock/737/73731f00ad22ea179d4d0dd8ee3dd89c.jpg;;;;;;12.11
233;Акапулько;неаполитанский соус, соус барбекю, базилик, сыр моцарелла, томлёная говядина, красный лук, перец пеперончино;;;235;;/upload/iblock/6e0/6e0ef4e351fe03f8464f8e4a9cc2c56f.jpg;;;;;;9.03
234;Акапулько;неаполитанский соус, соус барбекю, базилик, сыр моцарелла, томлёная говядина, красный лук, перец пеперончино;;;235;;/upload/iblock/d85/d85d70d8b5593275e1f6ce984a77f405.jpg;;;;;;12.11
236;Бианко;соус белый с рукколой, ветчина, помидоры черри, свежий руккола;;;238;;/upload/iblock/d96/d96196241abfee938af14aae7a8b2f23.jpg;;;;;;7.17
237;Бианко;соус белый с рукколой, ветчина, помидоры черри, свежий руккола;;;238;;/upload/iblock/f07/f0722b8f49bce86918ffab79cf4b5db2.jpg;;;;;;9.95
239;Пепперони;неаполитанский соус, сыр моцарелла, базилик, пепперони, сырокопчёный бекон, красный лук;;;241;;/upload/iblock/434/43422f56dd17296b6055c7cc4067a725.jpg;;;;;;7.64
240;Пепперони;неаполитанский соус, сыр моцарелла, базилик, пепперони, сырокопчёный бекон, красный лук;;;241;;/upload/iblock/88e/88e535b0fc018e9a7d0784f7a8f751c3.jpg;;;;;;9.18
242;Четыре сыра;неаполитанский соус, базилик, сыр моцарелла, сыр пармезан, сыр гранд-блу, сыр чеддер;;;244;;/upload/iblock/c36/c36ac0643a515666ccc914853b861380.jpg;;;;;;9.03
243;Четыре сыра;неаполитанский соус, базилик, сыр моцарелла, сыр пармезан, сыр гранд-блу, сыр чеддер;;;244;;/upload/iblock/330/3300528f0705d959b828da401da5d452.jpg;;;;;;10.57
245;Кватро Стаджиони;неаполитанский соус, базилик, сыр моцарелла, шампиньоны, ветчина, маслины, артишоки;;;247;;/upload/iblock/26f/26fcded74caac0471ded8f9030443493.jpg;;;;;;8.41
246;Кватро Стаджиони;неаполитанский соус, базилик, сыр моцарелла, шампиньоны, ветчина, маслины, артишоки;;;247;;/upload/iblock/196/19647edc188cc950a1ab32b7be219416.jpg;;;;;;10.72
248;Кальцоне Гурмана (закрытая);белый соус чили, базилик, сыр моцарелла, куриная грудка, шампиньоны, лук порей фри, сыр пармезан;;;250;;/upload/iblock/c66/c663fe0b49f0d6057b727a99b273f8b1.jpg;;;;;;9.18
249;Кальцоне Гурмана (закрытая);белый соус чили, базилик, сыр моцарелла, куриная грудка, шампиньоны, лук порей фри, сыр пармезан;;;250;;/upload/iblock/454/454d406e8498df3432ba90a16aab66d9.jpg;;;;;;10.72
251;Капри;неаполитанский соус, базилик, сыр моцарелла, ветчина, шампиньоны;;;253;;/upload/iblock/617/61792489eefacf0761e0c77fde847122.jpg;;;;;;7.64
252;Капри;неаполитанский соус, базилик, сыр моцарелла, ветчина, шампиньоны;;;253;;/upload/iblock/996/996348f10c7c6af11071b73b3d78f143.jpg;;;;;;9.18
254;Кораблик;неаполитанский соус, базилик, сыр моцарелла, помидоры черри, маслины, картофель фри;;;256;;/upload/iblock/f41/f41dedd341ea4a05b95beebe462177bb.jpg;;;;;;7.48
